block_name,cluster,label,rf_prediction,rf_confidence,final_prediction,solar_mean,wind_mean,pop_mean,dist_roads_mean,dist_trans_mean,dist_sub_mean,constraint_pct,district
Agalpur,1,SOLAR,SOLAR,0.9920443977782956,SOLAR,4.238735,3.745112,297.9296,3.938571,31.833622,49.417115,79.9918,Bolangir
Ambabhana,3,SOLAR,SOLAR,0.9852421499748636,SOLAR,4.106386,3.626894,140.0581,2.611814,66.250382,72.661689,41.4958,Baragarh
Anandpur,3,SOLAR,SOLAR,0.9890032091313016,SOLAR,4.093544,3.129247,331.3072,13.675535,63.643637,67.756676,87.1788,Keonjhar
Anugul,3,SOLAR,SOLAR,0.9846764962576742,SOLAR,4.077689,3.569442,182.2117,9.957462,34.472504,65.287661,38.7173,Anugul
Aska,1,SOLAR,SOLAR,0.958307854293395,SOLAR,4.11164,3.276122,750.7188,2.512391,5.902977,20.723141,69.3916,Ganjam
Astarang,2,WIND,WIND,0.73984375,WIND,3.375824,5.921978,672.873,0.865803,108.247852,18.235214,57.1996,Puri
Atabira,1,SOLAR,SOLAR,0.988873737191886,SOLAR,4.232043,3.771955,218.6679,2.558009,26.296504,29.738735,64.4914,Baragarh
Athagarh,1,SOLAR,SOLAR,0.9246719782748016,SOLAR,4.060674,3.717531,450.3245,2.730041,10.938011,19.972813,84.1785,Cuttack
Atthamallik,3,SOLAR,SOLAR,0.9969157398791252,SOLAR,4.16228,3.604733,134.5121,5.987917,28.592577,62.542424,59.4808,Anugul
Aul,0,HYBRID,HYBRID,0.9488344186292168,HYBRID,4.041685,5.194862,803.1529,3.702805,46.265072,35.075398,64.95349999999999,Kendrapada
Badagaon,1,SOLAR,SOLAR,0.995996204282204,SOLAR,4.257278,3.558765,184.8215,5.676428,27.138268,42.127861,92.0727,Sundargarh
Badamba,1,SOLAR,SOLAR,0.9871817870967884,SOLAR,4.083613,3.313387,454.7764,6.631088,35.824154,36.281688,56.50730000000001,Cuttack
Badasahi,1,SOLAR,SOLAR,0.946187751142595,SOLAR,4.028666,4.126961,430.1637,3.580878,12.154968,46.34699,94.7513,Mayurbhanj
Bahalda,1,SOLAR,SOLAR,0.9690394668621944,SOLAR,4.004985,3.438157,358.781,2.758963,51.912834,64.700361,83.8718,Mayurbhanj
Bahanaga,2,HYBRID,HYBRID,0.92409381937641,HYBRID,3.639414,4.762,651.081,3.253276,25.185772,30.796605,99.2297,Baleswar
Baleswar,0,HYBRID,HYBRID,0.9712923934051207,HYBRID,3.773819,5.265023,932.6779,2.462905,25.180579,33.004189,84.0127,Baleswar
Balianta,0,HYBRID,HYBRID,0.9858408978546136,HYBRID,4.053441,4.853999,870.4104,0.342881,8.420727,15.922435,68.892,Khurda
Baliapal,2,HYBRID,HYBRID,0.9737197995777984,HYBRID,3.767348,5.33405,785.2745,2.823857,62.52705,23.323394,83.1347,Baleswar
Baliguda,3,SOLAR,SOLAR,0.9634268518290028,SOLAR,4.22385,3.747108,106.9492,8.873561,152.0089,99.774326,47.6609,Kandhamal
Balikuda,2,HYBRID,HYBRID,0.9705766141786468,HYBRID,3.765255,5.519689,650.8395,2.747003,83.21507,26.625536,77.5822,Jagatsingpur
Balipatana,0,HYBRID,HYBRID,0.9906651935079788,HYBRID,4.054898,4.966099,874.7577,0.478034,27.016704,17.028732,85.5971,Khurda
Balisankara,3,SOLAR,SOLAR,0.989027139176892,SOLAR,4.071966,3.449128,180.583,5.524234,86.199638,97.321029,87.2054,Sundargarh
Banapur,3,SOLAR,SOLAR,0.985888720891215,SOLAR,4.071297,3.554159,300.4546,14.986198,20.675393,55.384911,63.7345,Khurda
Banarpal,1,SOLAR,SOLAR,0.9547500360781508,SOLAR,4.098399,3.454737,681.8274,1.992091,3.654721,13.978534,81.1345,Anugul
