District,Block_Level,District_Level,Agreement
Anugul,SOLAR,SOLAR,AGREE
Balangir,SOLAR,SOLAR,AGREE
Baleshwar,HYBRID,HYBRID,AGREE
Bargarh,SOLAR,SOLAR,AGREE
Bauda,SOLAR,SOLAR,AGREE
Bhadrak,SOLAR,HYBRID,DISAGREE
Cuttack,SOLAR,HYBRID,DISAGREE
Debagarh,SOLAR,SOLAR,AGREE
Dhenkanal,SOLAR,SOLAR,AGREE
Gajapati,SOLAR,SOLAR,AGREE
Ganjam,SOLAR,SOLAR,AGREE
Jagatsinghapur,HYBRID,HYBRID,AGREE
Jajapur,SOLAR,HYBRID,DISAGREE
Jharsuguda,SOLAR,SOLAR,AGREE
Kalahandi,SOLAR,SOLAR,AGREE
Kandhamal,SOLAR,SOLAR,AGREE
Kendrapara,HYBRID,HYBRID,AGREE
Kendujhar,SOLAR,SOLAR,AGREE
Khordha,HYBRID,HYBRID,AGREE
Koraput,SOLAR,SOLAR,AGREE
Malkangiri,SOLAR,SOLAR,AGREE
Mayurbhanj,SOLAR,SOLAR,AGREE
Nabarangapur,SOLAR,HYBRID,DISAGREE
Nayagarh,SOLAR,SOLAR,AGREE
Nuapada,SOLAR,SOLAR,AGREE
Puri,HYBRID,HYBRID,AGREE
Rayagada,SOLAR,SOLAR,AGREE
Sambalpur,SOLAR,SOLAR,AGREE
Subarnapur,SOLAR,SOLAR,AGREE
Sundargarh,SOLAR,SOLAR,AGREE
