District,Block_Level,District_Level,Agreement
Anugul,SOLAR,SOLAR,AGREE
Bhadrak,SOLAR,HYBRID,DISAGREE
Cuttack,SOLAR,SOLAR,AGREE
Dhenkanal,SOLAR,SOLAR,AGREE
Gajapati,SOLAR,SOLAR,AGREE
Ganjam,SOLAR,SOLAR,AGREE
Jharsuguda,SOLAR,SOLAR,AGREE
Kalahandi,SOLAR,SOLAR,AGREE
Kandhamal,SOLAR,SOLAR,AGREE
Koraput,SOLAR,SOLAR,AGREE
Mayurbhanj,SOLAR,SOLAR,AGREE
Nayagarh,SOLAR,SOLAR,AGREE
Nuapada,SOLAR,SOLAR,AGREE
Puri,HYBRID,HYBRID,AGREE
Rayagada,SOLAR,SOLAR,AGREE
Sambalpur,SOLAR,SOLAR,AGREE
Sundargarh,SOLAR,SOLAR,AGREE
